Bakkerom;9362–9362;Marum;Groningen;
Bakkersdam;4501–4501;Sluis;Zeeland;
Bakkeveen;9243–9243;Opsterland;Fryslân;
Balgoij;6613–6613;Wijchen;Gelderland;
Bakkum;1901–1901;Castricum;Noord-Holland;
Balhofstede;4515–4515;Sluis;Zeeland;
Balinge;9437–9437;Midden-Drenthe;Drenthe;
Balk;8560–8561;De Fryske Marren;Fryslân;
Balkbrug;7707–7707;Hardenberg;Overijssel;
Ballast;7741–7741;Coevorden;Drenthe;
Balleman;4855–4855;Alphen-Chaam;Noord-Brabant;
Ballingbuur;8511–8511;De Fryske Marren;Fryslân;
Balloo;9458–9458;Aa en Hunze;Drenthe;
Ballum;9162–9162;Ameland;Fryslân;
Balmahuizen;9884–9884;Zuidhorn;Groningen;
Baneheide;6353–6353;Simpelveld;Limburg;
Banholt;6262–6262;Eijsden-Margraten;Limburg;
Bankert;5763–5763;Gemert-Bakel;Noord-Brabant;
Bant;8314–8314;Noordoostpolder;Flevoland;
Bantega;8538–8538;De Fryske Marren;Fryslân;
Barchem;7244–7244;Lochem;Gelderland;
Barendrecht;2990–2993;Barendrecht;Zuid-Holland;
Barendrechtse Veer;2992–2992;Barendrecht;Zuid-Holland;
Bareveld;9512–9512;Aa en Hunze;Drenthe;
Barger-Compascuum;7884–7884;Emmen;Drenthe;
Barger-Erfscheidenveen (?);7814–7833;Emmen;Drenthe;
Barger-Oosterveen;7891–7891;Emmen;Drenthe;
Barger-Oosterveld ?;7826–7885;Emmen;Drenthe;
Barlage;9591–9591;Stadskanaal;Groningen;
Barlaque;4793–4793;Moerdijk;Noord-Brabant;
Barlo;7122–7122;Aalten;Gelderland;
Barneveld;3770–3773;Barneveld;Gelderland;
Barnflair;9561–9561;Vlagtwedde;Groningen;
Barrier;6343–6343;Voerendaal;Limburg;
Barsbeek;8326–8326;Steenwijkerland;Overijssel;
Barsingerhorn;1768–1768;Hollands Kroon;Noord-Holland;
Bartlehiem;9178–9074;Ferwerderadiel;Fryslân;
Bartlehiem;9051–9051;Leeuwarderadeel;Fryslân;
Bartlehiem;9064–9064;Tytsjerksteradiel;Fryslân;
Bartlehiem;9091–9091;Tytsjerksteradiel;Fryslân;
Basse;8342–8342;Steenwijkerland;Overijssel;
Basserveld;8338–8338;Steenwijkerland;Overijssel;
Batenburg;6634–6634;Wijchen;Gelderland;
Bath;4411–4411;Reimerswaal;Zeeland;
Bathmen;7437–7437;Deventer;Overijssel;
